?,#,Sector,Category,Sector_s,Sub Sector,Name,Marketcap,Price,Volumn,Blockchain,Change 24h,Change 7d,
1931,1944,Cryptos,Agriculture,Agriculture,,Eva Cash EVC,$0,$0.03,"$210,955",Ethereum (ERC20),-6.78%,-60.53%,
2112,2137,Cryptos,Agriculture,Agriculture,,CottonCoin COTN,$0,$0.00,$49,Own Blockchain,65.06%,22.45%,
171,172,Cryptos,Tech,AI,,Cortex CTXC,$26.72M,$0.18,"$6,327,938",Ethereum (ERC20),-1.28%,-16.62%,
234,235,Cryptos,Tech,AI,,Matrix AI Network MAN,$16.2M,$0.11,"$668,337",Ethereum (ERC20),-1.48%,1.91%,
288,289,Cryptos,Tech,AI,,DATA DTA,$12.66M,$0.00,"$2,282,491",Ethereum (ERC20),8.40%,1.34%,
313,314,Cryptos,Tech,AI,,Swarm SWM,$11.25M,$0.14,"$1,322,021",Ethereum (ERC20),-3.56%,-21.99%,
377,378,Cryptos,Tech,AI,,Ocean Protocol OCEAN,$8.18M,$0.03,"$768,337",Ethereum (ERC20),-2.18%,1.01%,
421,422,Cryptos,Tech,AI,,Sentinel Protocol UPP,$6.55M,$0.02,"$1,240,477",Ethereum (ERC20),-1.40%,29.91%,
630,632,Cryptos,Tech,AI,,Peculium PCL,$2.72M,$0.00,"$144,443",Ethereum (ERC20),-2.48%,-11.50%,
636,638,Cryptos,Tech,AI,,Effect.AI EFX,$2.66M,$0.01,"$2,034",NEO,3.20%,-14.45%,
644,646,Cryptos,Tech,AI,,Kambria KAT,$2.57M,$0.00,"$80,662",Ethereum (ERC20),-1.15%,-28.27%,
657,659,Cryptos,Tech,AI,,Neurotoken NTK,$2.41M,$0.03,"$21,950",Ethereum (ERC20),-0.58%,-8.49%,
668,1266,Cryptos,Tech,AI,,Consensus SEN,$2.24M,$0.00,$265,Own Blockchain,-10.70%,-16.16%,
731,732,Cryptos,Tech,AI,,Neurochain NCC,$1.75M,$0.01,"$41,519",Ethereum (ERC20),4.34%,-4.10%,
742,743,Cryptos,Tech,AI,,Ubex UBEX,$1.67M,$0.00,"$354,792",Ethereum (ERC20),1.41%,-0.44%,
758,759,Cryptos,Tech,AI,,Skychain SKCH,$1.56M,$0.21,"$5,398",Ethereum (ERC20),7.32%,-11.11%,
778,779,Cryptos,Tech,AI,,VisionX VNX,$1.39M,$0.00,"$208,156",Ethereum (ERC20),-6.55%,-15.59%,
819,821,Cryptos,Tech,AI,,DATx DATX,$1.13M,$0.00,"$183,747",Own Blockchain,11.01%,-6.92%,
945,947,Cryptos,Tech,AI,,AICHAIN AIT,$549.13K,$0.00,"$78,695",Own Blockchain,-26.40%,-29.15%,
1062,1063,Cryptos,Tech,AI,,AdHive ADH,$220.98K,$0.00,$843,Ethereum (ERC20),-1.04%,-28.05%,
1263,1268,Cryptos,Tech,AI,,Lisk Machine Learning LML,$2.08M,$0.02,$319,Ethereum (ERC20),4.85%,13.20%,
1957,1970,Cryptos,Tech,AI,,ThoreNext THX,$0,$19.23,"$91,970",Ethereum (ERC20),96.03%,56.17%,
2084,2107,Cryptos,Tech,AI,,ORS Group ORS,$0,$0.02,$422,Ethereum (ERC20),-0.09%,1.94%,
175,176,Cryptos,Tech,AI,marketplace,SingularityNET AGI,$25.49M,$0.05,"$793,107",Ethereum (ERC20),-2.21%,-24.26%,
486,487,Cryptos,Art,Art,marketplace,Maecenas ART,$4.89M,$0.10,"$2,667",Ethereum (ERC20),-1.08%,-20.29%,
865,867,Cryptos,Art,Art,,ArtByte ABY,$851.93K,$0.00,"$7,069",Own Blockchain,-3.86%,-6.36%,
1073,1074,Cryptos,Art,Art,authentication,Freyrchain FREC,$202.2K,$0.00,$648,Ethereum (ERC20),-5.08%,-22.90%,
264,265,Cryptos,Financial services,asset management,,Genesis Vision GVT,$14.33M,$3.24,"$835,758",Ethereum (ERC20),0.47%,-9.46%,
60,61,Cryptos,Financial services,asset transfer,mobile data,Dent DENT,$125.43M,$0.00,"$1,157,517",Ethereum (ERC20),-0.28%,-3.07%,
257,258,Cryptos,Financial services,auditing,security,Quantstamp QSP,$14.97M,$0.02,"$271,643",Ethereum (ERC20),1.15%,-11.58%,
295,296,Cryptos,Financial services,auditing,data,Tierion TNT,$12.34M,$0.03,"$1,150,804",Ethereum (ERC20),-2.43%,-6.05%,
35,36,Cryptos,business service,business service,,Aurora AOA,$246.69M,$0.04,"$1,426,525",Ethereum (ERC20),15.22%,23.61%,
139,140,Cryptos,business service,business service,,REPO REPO,$36.02M,$0.33,"$36,625",Stellar,-0.18%,36.20%,
142,143,Cryptos,business service,business service,,Japan Content Token JCT,$35.6M,$0.12,"$145,073",Ethereum (ERC20),-8.07%,9%,
155,156,Cryptos,business service,business service,,RIF Token RIF,$31.16M,$0.07,"$110,949",Ethereum (ERC20),0.01%,-13.07%,
178,179,Cryptos,business service,business service,,ProximaX XPX,$25.3M,$0.00,"$5,959,602",NEM,2.34%,-10.62%,
179,180,Cryptos,business service,business service,,Cosmo Coin COSM,$25.03M,$0.04,"$11,475,130",Ethereum (ERC20),-1.90%,0.64%,
180,181,Cryptos,business service,business service,,INO COIN INO,$24.67M,$1.23,"$1,569,206",Ethereum (ERC20),2.20%,-15.84%,
236,237,Cryptos,business service,business service,,BitKan KAN,$16.47M,$0.00,"$1,913,848",Ethereum (ERC20),-1.30%,-24.13%,
268,269,Cryptos,business service,business service,,PumaPay PMA,$13.94M,$0.00,"$466,169",Ethereum (ERC223),-2.40%,1.59%,
311,312,Cryptos,business service,business service,,EDC Blockchain EDC,$11.29M,$0.00,"$342,530",Own Blockchain,-0.29%,-18.20%,
312,313,Cryptos,business service,business service,,Insolar INS,$11.25M,$0.35,"$872,894",Ethereum (ERC20),-3.44%,-6.03%,
346,347,Cryptos,business service,business service,,CoinUs CNUS,$9.46M,$0.03,"$206,904",Ethereum (ERC20),-3.33%,-6.07%,
381,382,Cryptos,business service,business service,,Blue Whale Token BWX,$7.87M,$0.13,"$288,334",Ethereum (ERC20),-22.22%,-17.68%,
457,458,Cryptos,business service,business service,,BOLT BOLT,$5.61M,$0.02,"$2,490,704",Ethereum (ERC20),1.62%,-1.54%,
465,466,Cryptos,business service,business service,,LTO Network LTO,$5.39M,$0.13,"$2,042,720",Ethereum (ERC20),12.65%,8.82%,
471,472,Cryptos,business service,business service,,LoyalCoin LYL,$5.27M,$0.00,"$341,954",NEM,-5.85%,11.23%,
499,500,Cryptos,business service,business service,,Morpheus Network MRPH,$4.72M,$0.15,"$586,779",Ethereum (ERC20),-2.60%,-16.54%,
508,509,Cryptos,business service,business service,,Ultiledger ULT,$4.52M,$0.01,"$621,019",Ethereum (ERC20),-4.10%,-11.81%,
536,538,Cryptos,business service,business service,,Cashbery Coin CBC,$4.12M,$0.06,"$7,859",Own Blockchain,1.59%,-0.93%,
539,541,Cryptos,business service,business service,,Zebi ZCO,$4.04M,$0.01,"$1,491,431",Own Blockchain,0.05%,-7.88%,
588,590,Cryptos,business service,business service,,MIR COIN MIR,$3.41M,$0.01,"$425,823",Own Blockchain,9%,7.37%,
603,605,Cryptos,business service,business service,,Merculet MVP,$3.04M,$0.00,"$626,520",Ethereum (ERC20),-3.72%,-28.94%,
621,623,Cryptos,business service,business service,,NeoWorld Cash NASH,$2.78M,$0.00,"$400,142",Ethereum (ERC223),-1.13%,-3.83%,
656,658,Cryptos,business service,business service,,Hiveterminal Token HVN,$2.42M,$0.01,"$63,972",Ethereum (ERC20),3.03%,-16.30%,
816,818,Cryptos,business service,business service,,Linfinity LFC,$1.16M,$0.00,"$348,383",Ethereum (ERC20),-3.14%,-1.38%,
844,846,Cryptos,business service,business service,,OneLedger OLT,$959.11K,$0.00,"$37,943",Ethereum (ERC20),4.34%,2.57%,
845,847,Cryptos,business service,business service,,DPRating RATING,$951.97K,$0.00,"$43,612",Ethereum (ERC20),-4.84%,-8%,
853,855,Cryptos,business service,business service,,Sentinel Chain SENC,$899.18K,$0.00,"$10,873",Own Blockchain,-1.09%,-1.49%,
864,866,Cryptos,business service,business service,,Niobium Coin NBC,$861.76K,$0.02,"$6,315",Ethereum (ERC20),0.23%,-11.56%,
886,888,Cryptos,business service,business service,,PikcioChain PKC,$735.29K,$0.02,"$1,843",NEO,1.64%,73.55%,
903,905,Cryptos,business service,business service,,Qredit XQR,$697.95K,$0.00,"$2,566",Own Blockchain,-3.26%,-30.35%,
962,964,Cryptos,business service,business service,,Commercium CMM,$470.83K,$0.01,"$16,788",Own Blockchain,-3%,-36.17%,
1015,1017,Cryptos,business service,business service,,Maincoin MNC,$359.98K,$0.00,"$62,727",Ethereum (ERC20),10.32%,-8.06%,
1041,1042,Cryptos,business service,business service,,SignatureChain SICA,$281.12K,$0.00,$708,Waves,9.75%,-2.57%,
1071,1072,Cryptos,business service,business service,,NetKoin NTK,$206.09K,$0.00,"$1,356",Ethereum (ERC20),-0.16%,6.58%,
1081,1083,Cryptos,business service,business service,,Bob’s Repair BOB,$189.7K,$0.00,"$385,036",Ethereum (ERC20),-5.54%,-9.93%,
1085,1087,Cryptos,business service,business service,,Global Awards Token GAT,$183.88K,$0.00,$715,Ethereum (ERC20),-48.95%,-69.23%,
1126,1129,Cryptos,business service,business service,,Engagement Token ENGT,$121.93K,$0.00,"$1,627",Ethereum (ERC20),10%,-2.03%,
1176,1179,Cryptos,business service,business service,,WITChain WIT,$53.74K,$0.00,"$39,776",Ethereum (ERC20),0.28%,-22.73%,
1205,1208,Cryptos,business service,business service,,BitCoen BEN,$28.83K,$0.00,$726,Own Blockchain,-1.91%,-37.15%,
1208,1211,Cryptos,business service,business service,,LogisCoin LGS,$27.54K,$0.01,"$1,250",Own Blockchain,-7.27%,-14.86%,
1249,1253,Cryptos,business service,business service,,Aston ATX,$3.55M,$0.00,$86,Ethereum (ERC20),-20.57%,-28.81%,
1332,1338,Cryptos,business service,business service,,Ivy IVY,$620.83K,$0.00,$388,Ethereum (ERC20),0.02%,-8.92%,
1385,1390,Cryptos,business service,business service,,IP Exchange IPSX,$343.02K,$0.00,$68,Ethereum (ERC20),22.12%,32.14%,
1439,1447,Cryptos,business service,business service,,Centauri CTX,$213.33K,$0.01,$215,Own Blockchain,0.74%,-23.34%,
1461,1468,Cryptos,business service,business service,,Fabric Token FT,$179.84K,$0.01,$216,Ethereum (ERC20),33.34%,8.16%,
1495,1502,Cryptos,business service,business service,,Shping SHPING,$141.45K,$0.00,$18,Ethereum (ERC20),-10.33%,-28.66%,
1624,1632,Cryptos,business service,business service,,ZINC ZINC,$47.42K,$0.01,$27,Ethereum (ERC20),-0.01%,4.61%,
1631,1638,Cryptos,business service,business service,,SAKECOIN SAKE,$44.99K,$0.00,$0,Ethereum (ERC223),-5.39%,-34.18%,
1661,1668,Cryptos,business service,business service,,Castle CSTL,$34.34K,$0.00,$15,Own Blockchain,13.03%,-27.55%,
1713,1720,Cryptos,business service,business service,,Mero MERO,$20.12K,$0.00,$4,Own Blockchain,7.13%,-8.23%,
1750,1757,Cryptos,business service,business service,,Printex PRTX,$13.53K,$0.00,$0,Own Blockchain,48.93%,-37.57%,
1788,1794,Cryptos,business service,business service,,UralsCoin URALS,$6.34K,$0.00,$2,Own Blockchain,-49.33%,3.75%,
1897,1909,Cryptos,business service,business service,,YOU COIN YOU,$0,$0.02,"$657,216",Ethereum (ERC20),-2.07%,-10.48%,
1950,1964,Cryptos,business service,business service,,Globalvillage Ecosystem GVE,$0,$0.00,"$106,816",Ethereum (ERC20),21.43%,9.76%,
1977,1992,Cryptos,business service,business service,,RedFOX Labs RFOX,$0,$0.04,"$59,334",Own Blockchain,-13%,-38.60%,
1990,2006,Cryptos,business service,business service,,CENTERCOIN CENT,$0,$0.01,"$40,372",Own Blockchain,1.48%,-2.56%,
2012,2030,Cryptos,business service,business service,,Helper Search Token HSN,$0,$0.00,"$20,157",Ethereum (ERC20),1.21%,-1.62%,
2019,2037,Cryptos,business service,business service,,LemoChain LEMO,$0,$0.01,"$17,834",Ethereum (ERC20),-17.16%,-25.80%,
2021,2040,Cryptos,business service,business service,,Fast Access Blockchain FAB,$0,$0.10,"$15,692",Own Blockchain,3.27%,-4.97%,
2026,2046,Cryptos,business service,business service,,Ti-Value TV,$0,$0.04,"$12,287",Own Blockchain,10.24%,-0.83%,
2040,2061,Cryptos,business service,business service,,Commerce Data Connection CDC,$0,$0.00,"$8,453",Ethereum (ERC20),-6.60%,-36.59%,
2041,2062,Cryptos,business service,business service,,OOOBTC TOKEN OBX,$0,$0.01,"$8,274",Ethereum (ERC20),-7.23%,25.94%,
2070,2093,Cryptos,business service,business service,,Hercules HERC,$0,$0.01,"$1,002",Ethereum (ERC20),-1.15%,-12.33%,
2099,2123,Cryptos,business service,business service,,BitStash STASH,$0,$0.00,$180,Ethereum (ERC20),-0.10%,-49.85%,
2101,2125,Cryptos,business service,business service,,YUKI YUKI,$0,$0.00,$164,Ethereum (ERC223),75.48%,-47.75%,
2102,2126,Cryptos,business service,business service,,Rocket Pool RPL,$0,$0.24,$160,Ethereum (ERC20),-23.50%,-21.24%,
2106,2130,Cryptos,business service,business service,,Locus Chain LOCUS,$0,$0.02,$126,Ethereum (ERC20),-2.83%,-6.20%,
2192,2218,Cryptos,business service,business service,,Delizia DELIZ,$0,$0.00,$1,Own Blockchain,0.02%,23.65%,
316,317,Cryptos,business service,business service,,Emercoin EMC,$11M,$0.25,"$92,112",Own Blockchain,-4.78%,-3.25%,
351,352,Cryptos,business service,business service,documents,Agrello DLT,$9.09M,$0.11,"$612,655",Ethereum (ERC20),-0.89%,-10.65%,
518,519,Cryptos,Cannabis,Cannabis,,Paragon PRG,$4.36M,$0.07,"$29,097",Ethereum (ERC20),1.83%,-4.23%,
612,614,Cryptos,Cannabis,Cannabis,,PotCoin POT,$2.93M,$0.01,"$2,268",Own Blockchain,3.53%,-6.13%,
806,807,Cryptos,Cannabis,Cannabis,,HempCoin THC,$1.2M,$0.00,"$20,965",Own Blockchain,23.36%,-36.80%,
1072,1073,Cryptos,Cannabis,Cannabis,,Tokes TKS,$205.54K,$0.06,"$4,284",Waves,-24.98%,-37.92%,
1094,1097,Cryptos,Cannabis,Cannabis,,DopeCoin DOPE,$170.83K,$0.00,"$1,006",Own Blockchain,-0.76%,-16.52%,
1334,1340,Cryptos,Cannabis,Cannabis,,CannabisCoin CANN,$600.21K,$0.01,$8,Own Blockchain,7.45%,-9.35%,
1741,1748,Cryptos,Cannabis,Cannabis,,GreenMed GRMD,$15.06K,$0.00,$5,Ethereum (ERC20),-0.02%,-21.76%,
1805,1812,Cryptos,Cannabis,Cannabis,,Cannation CNNC,$3.86K,$0.00,$18,Own Blockchain,0.66%,-34.05%,
2057,2080,Cryptos,Cannabis,Cannabis,,Budbo BUBO,$0,$0.00,"$2,055",Ethereum (ERC20),-7.63%,-38.74%,
2138,2163,Cryptos,Cannabis,Cannabis,,BlazerCoin BLAZR,$0,$0.00,$1,Own Blockchain,-0.46%,-55.68%,
684,685,Cryptos,Philanthropy,Charity,,Vipstar Coin VIPS,$2.11M,$0.00,"$2,022,926",Own Blockchain,-1.17%,-5.54%,
1003,1005,Cryptos,Philanthropy,Charity,,Auxilium AUX,$379.32K,$0.00,"$4,908",Own Blockchain,-12.28%,-27.10%,
1005,1007,Cryptos,Philanthropy,Charity,,BiblePay BBP,$377.43K,$0.00,"$3,954",Own Blockchain,-19.99%,-24.73%,
1134,1137,Cryptos,Philanthropy,Charity,,Evimeria EVI,$107.97K,$0.00,"$1,599",Waves,9.63%,50.96%,
1225,1228,Cryptos,Philanthropy,Charity,,PAWS Fund PAWS,$13.32K,$0.07,$569,Own Blockchain,17.43%,-36.23%,
1320,1326,Cryptos,Philanthropy,Charity,,PinkCoin PINK,$726.01K,$0.00,$357,Own Blockchain,-1.95%,-2.32%,
1554,1561,Cryptos,Philanthropy,Charity,,Help The Homeless Coin HTH,$87.37K,$0.00,$62,Own Blockchain,-0.71%,-10.63%,
1606,1613,Cryptos,Philanthropy,Charity,,Carebit CARE,$57.64K,$0.00,$431,Own Blockchain,70.01%,83.34%,
2037,2058,Cryptos,Philanthropy,Charity,,HoryouToken HYT,$0,$0.01,"$8,792",Ethereum (ERC20),-4.21%,-16.34%,
674,675,Cryptos,Philanthropy,charity,tracking,AidCoin AID,$2.23M,$0.05,"$2,597",Ethereum (ERC20),0.07%,-4.09%,
720,721,Cryptos,Philanthropy,charity,,LIFE LIFE,$1.85M,$0.00,"$9,308",Own Blockchain,4.51%,-8.16%,
210,211,Cryptos,Communication,Communication,telecom,Cajutel CAJ,$20.1M,$14.87,"$52,218",Ethereum (ERC20),-1.82%,11.60%,
291,292,Cryptos,Communication,communication,location and mapping,FOAM FOAM,$12.62M,$0.04,"$31,902",Ethereum (ERC20),7.63%,-8.95%,
433,434,Cryptos,Communication,Communication,,Loki LOKI,$6.28M,$0.15,"$9,379",Own Blockchain,-8.79%,-1.23%,
474,475,Cryptos,Communication,Communication,,CanonChain CZR,$5.19M,$0.01,"$1,661",Ethereum (ERC20),-0.01%,-12.38%,
577,579,Cryptos,Communication,Communication,,Skrumble Network SKM,$3.55M,$0.00,"$3,131,111",Own Blockchain,-3.89%,59.50%,
