?,#,Sector,Category,Sector_s,Sub Sector,Name,Marketcap,Price,Volumn,Blockchain,Change 24h,Change 7d,
1868,1877,Cryptos,Tech,Computing,,SuperEdge ECT,$0,$0.00,"$1,931,611",Ethereum (ERC20),-3.29%,-5.22%,
319,320,Cryptos,Financial services,Crowdfunding,,Own CHX,$10.87M,$0.14,"$1,705,961",Ethereum (ERC20),-0.38%,-13.89%,
339,340,Cryptos,Financial services,Crowdfunding,,Tokenomy TEN,$9.75M,$0.05,"$180,754",Ethereum (ERC20),1.25%,-7.40%,
463,464,Cryptos,Financial services,Crowdfunding,,Neumark NEU,$5.48M,$0.15,$918,Ethereum (ERC20),4%,0.35%,
509,510,Cryptos,Financial services,Crowdfunding,,Invictus Hyperion Fund IHF,$4.51M,$0.04,"$2,219",Ethereum (ERC20),-1.24%,-10.37%,
513,514,Cryptos,Financial services,Crowdfunding,,Wings WINGS,$4.5M,$0.05,"$23,439",Ethereum (ERC20),-0.24%,4.73%,
581,583,Cryptos,Financial services,Crowdfunding,,KickCoin KICK,$3.55M,$0.00,"$767,020",Ethereum (ERC20),-2.97%,-12.38%,
759,760,Cryptos,Financial services,Crowdfunding,,SelfSell SSC,$1.55M,$0.00,"$2,602,192",Own Blockchain,-6.99%,-10.89%,
837,839,Cryptos,Financial services,Crowdfunding,,Kolion KLN,$1.03M,$1.03,"$26,293",Waves,-0.39%,-21.17%,
1031,1033,Cryptos,Financial services,Crowdfunding,,Starbase STAR,$309.87K,$0.00,"$1,118",Ethereum (ERC20),-6.98%,-15.69%,
1059,1060,Cryptos,Financial services,Crowdfunding,,StarterCoin STAC,$227.34K,$0.00,"$27,859",Ethereum (ERC20),7.64%,-61.81%,
1097,1100,Cryptos,Financial services,Crowdfunding,,SportyCo SPF,$160.64K,$0.00,"$4,722",Ethereum (ERC20),21.14%,-29.34%,
1156,1159,Cryptos,Financial services,Crowdfunding,,No BS Crypto NOBS,$71.55K,$0.00,"$16,464",Ethereum (ERC20),-1.93%,8.30%,
1190,1193,Cryptos,Financial services,Crowdfunding,,GoHelpFund HELP,$42.36K,$0.01,"$19,585",Ethereum (ERC20),-8.85%,-17.95%,
1197,1200,Cryptos,Financial services,Crowdfunding,,ICOBay IBT,$35.86K,$0.00,"$252,481",Ethereum (ERC20),-0.29%,-13.33%,
1348,1354,Cryptos,Financial services,Crowdfunding,,VeriSafe VSF,$502.41K,$0.00,$363,Ethereum (ERC20),-14.89%,-22.48%,
1438,1446,Cryptos,Financial services,Crowdfunding,,Startcoin START,$217.77K,$0.00,$1,Own Blockchain,-0.01%,1.56%,
1468,1475,Cryptos,Financial services,Crowdfunding,,ZeusNetwork ZEUS,$170.3K,$0.00,$156,Waves,17.94%,4.45%,
1470,1477,Cryptos,Financial services,Crowdfunding,,Crowdholding YUP,$168.22K,$0.00,$63,Ethereum (ERC20),-0.40%,-33.02%,
1525,1530,Cryptos,Financial services,Crowdfunding,,Adelphoi ADL,$110.02K,$0.01,$218,Nxt,-5.15%,-13.23%,
1560,1568,Cryptos,Financial services,Crowdfunding,,ICO OpenLedger ICOO,$82.78K,$0.18,$22,BitShares,0.01%,3.12%,
1575,1582,Cryptos,Financial services,Crowdfunding,,CrowdWiz WIZ,$74.34K,$0.01,$75,Ethereum (ERC20),-4.47%,-22.65%,
1727,1734,Cryptos,Financial services,Crowdfunding,,ICOBID ICOB,$18.01K,$0.00,$7,Own Blockchain,0.01%,18.91%,
2020,2038,Cryptos,Financial services,Crowdfunding,,COMSA [ETH] CMS,$0,$0.11,"$17,597",Ethereum (ERC20),2.66%,10.21%,
2083,2106,Cryptos,Financial services,Crowdfunding,,SIGMAcoin SIGMA,$0,$0.00,$445,Ethereum (ERC20),-0.09%,-30.66%,
0,1,Cryptos,Monetary structures,Currency,,Bitcoin BTC,$137.11B,"$7,727.02","$18,572,563,824",Own Blockchain,-0.63%,-10.42%,
2,3,Cryptos,Monetary structures,Currency,,XRP XRP,$17.55B,$0.42,"$1,741,918,455",Own Blockchain,4.48%,-7.26%,
3,4,Cryptos,Monetary structures,Currency,,Bitcoin Cash BCH,$6.88B,$385.75,"$1,778,939,689",Own Blockchain,-2.41%,-14.81%,
4,5,Cryptos,Monetary structures,Currency,,Litecoin LTC,$6.46B,$104.06,"$3,279,513,094",Own Blockchain,1.36%,-8.75%,
7,8,Cryptos,Monetary structures,Currency,,Bitcoin SV BSV,$3.41B,$191.13,"$700,743,442",Own Blockchain,-9.96%,-4.09%,
9,10,Cryptos,Monetary structures,Currency,payment processing,Stellar XLM,$2.38B,$0.12,"$406,276,642",Own Blockchain,0.83%,-10.38%,
23,24,Cryptos,Monetary structures,Currency,,Bitcoin Gold BTG,$442.49M,$25.27,"$31,093,810",Own Blockchain,-1.23%,-12.57%,
28,29,Cryptos,Monetary structures,currency,meme,Dogecoin DOGE,$363.52M,$0.00,"$69,887,794",Own Blockchain,-0.58%,-9.50%,
30,31,Cryptos,Monetary structures,Currency,,Qtum QTUM,$281.62M,$2.94,"$134,359,228",QTUM,-1.59%,-12.16%,
34,35,Cryptos,Monetary structures,Currency,autonomous,Decred DCR,$249.14M,$25.18,"$1,024,105",Own Blockchain,-4.47%,-14.14%,
54,55,Cryptos,Monetary structures,currency,meme,MonaCoin MONA,$140.96M,$2.14,"$43,917,540",Own Blockchain,-20.94%,89.70%,
49,50,Cryptos,Monetary structures,currency,,DigiByte DGB,$167.03M,$0.01,"$2,817,594",Own Blockchain,-1.10%,-11.19%,
135,136,Cryptos,Monetary structures,currency,,Energi NRG,$36.88M,$2.19,"$207,529",Own Blockchain,2.72%,6.80%,
170,171,Cryptos,Monetary structures,currency,quantum secure,Quantum Resistant Ledger QRL,$26.75M,$0.39,"$30,440",Ethereum (ERC20),4.61%,11.71%,
177,178,Cryptos,Monetary structures,currency,,Vertcoin VTC,$25.4M,$0.51,"$852,418",Own Blockchain,5.98%,7.48%,
185,186,Cryptos,Monetary structures,currency,,Unobtanium UNO,$23.35M,$116.48,"$1,379",Own Blockchain,0.10%,-22.83%,
187,188,Cryptos,Monetary structures,currency,DAG,Obyte GBYTE,$23.3M,$34.32,"$100,001",Own Blockchain,-2.59%,-9%,
198,199,Cryptos,Monetary structures,currency,web3,Nexus NXS,$21.61M,$0.34,"$574,123",Own Blockchain,0.93%,-6.93%,
202,203,Cryptos,Monetary structures,currency,,RChain RHOC,$20.9M,$0.06,"$48,896",Ethereum (ERC20),-1%,-27.36%,
205,206,Cryptos,Monetary structures,currency,,Gold Bits Coin GBC,$20.7M,$0.20,"$37,802",Ethereum (ERC20),-45.35%,15.27%,
212,213,Cryptos,Monetary structures,currency,,Clams CLAM,$19.77M,$5.45,"$56,202",Own Blockchain,-5.47%,-29.84%,
218,219,Cryptos,Monetary structures,currency,,Lightning Bitcoin [Futures] LBTC,$18.64M,$4.83,"$4,401,841",Own Blockchain,-2.83%,-18.13%,
220,221,Cryptos,Monetary structures,currency,quantum secure,ILCoin ILC,$18.42M,$0.06,"$1,135,601",Own Blockchain,0.34%,-19.56%,
227,228,Cryptos,Monetary structures,currency,social,Kin KIN,$17.91M,$0.00,"$1,222,090",Ethereum (ERC20),-1.48%,-43.29%,
254,255,Cryptos,Monetary structures,currency,,Bitcore BTX,$15.43M,$0.90,"$2,688",Own Blockchain,-4.89%,-15.57%,
273,274,Cryptos,Monetary structures,currency,,Vitae VITAE,$13.5M,$0.83,"$19,042",Own Blockchain,-2.68%,-1.05%,
293,294,Cryptos,Monetary structures,currency,,Viacoin VIA,$12.43M,$0.54,"$691,234",Own Blockchain,0.99%,-12.91%,
308,309,Cryptos,Monetary structures,currency,,SmartCash SMART,$11.56M,$0.01,"$293,523",Own Blockchain,1.73%,-12.85%,
315,316,Cryptos,Monetary structures,currency,,Metronome MET,$11.1M,$1.20,"$471,933",Ethereum (ERC20),-1.33%,-13.79%,
330,331,Cryptos,Monetary structures,currency,,Electra ECA,$10.33M,$0.00,"$35,714",Own Blockchain,6.08%,-10.40%,
337,338,Cryptos,Monetary structures,currency,,Peercoin PPC,$9.76M,$0.38,"$163,642",Own Blockchain,0.24%,-8.87%,
368,369,Cryptos,Monetary structures,currency,,Linda LINDA,$8.5M,$0.00,"$14,078",Own Blockchain,6.18%,-6.93%,
370,371,Cryptos,Monetary structures,currency,,PRIZM PZM,$8.4M,$0.16,"$80,696",Own Blockchain,-1.80%,-9.30%,
383,384,Cryptos,Monetary structures,currency,,Gulden NLG,$7.78M,$0.02,"$10,185",Own Blockchain,-1.06%,-12.16%,
386,387,Cryptos,Monetary structures,currency,,Stakenet XSN,$7.79M,$0.09,"$59,868",Own Blockchain,2.18%,-17.21%,
420,421,Cryptos,Monetary structures,currency,,Pillar PLR,$6.58M,$0.03,"$7,790",Ethereum (ERC20),3.57%,-3.68%,
426,427,Cryptos,Monetary structures,currency,,Feathercoin FTC,$6.4M,$0.03,"$37,652",Own Blockchain,-4.25%,17.31%,
447,448,Cryptos,Monetary structures,currency,,Pascal Coin PASC,$5.86M,$0.22,"$65,242",Own Blockchain,-3.92%,-15.63%,
448,449,Cryptos,Monetary structures,currency,,BitGreen BITG,$5.86M,$0.66,"$43,119",Own Blockchain,7.58%,10.85%,
461,462,Cryptos,Monetary structures,currency,,BlackCoin BLK,$5.48M,$0.09,"$42,746",Own Blockchain,-2.45%,-5.41%,
464,465,Cryptos,Monetary structures,currency,,Primecoin XPM,$5.41M,$0.19,"$13,260",Own Blockchain,-0.07%,-20.55%,
475,476,Cryptos,Monetary structures,currency,,Litecoin Cash LCC,$5.18M,$0.01,"$86,303",Own Blockchain,6.93%,-4.89%,
505,506,Cryptos,Monetary structures,currency,,EvenCoin EVN,$4.59M,$0.20,"$1,328,081",Ethereum (ERC20),-14.76%,-57.43%,
510,511,Cryptos,Monetary structures,currency,,Callisto Network CLO,$4.49M,$0.00,"$11,953",Own Blockchain,-3.54%,-10.54%,
521,522,Cryptos,Monetary structures,currency,,Paccoin $PAC,$4.33M,$0.00,"$136,177",Own Blockchain,-3.94%,-1.01%,
527,529,Cryptos,Monetary structures,currency,,Polis POLIS,$4.25M,$0.67,"$16,750",Own Blockchain,-2.65%,-11.52%,
530,532,Cryptos,Monetary structures,currency,,OKCash OK,$4.23M,$0.06,"$596,662",Own Blockchain,-1.98%,54.35%,
535,537,Cryptos,Monetary structures,currency,,Bean Cash BITB,$4.15M,$0.00,"$47,860",Own Blockchain,-5.18%,-6.46%,
546,548,Cryptos,Monetary structures,currency,,Divi DIVI,$3.93M,$0.00,"$13,394",Own Blockchain,6.33%,-28.51%,
571,573,Cryptos,Monetary structures,currency,,VeriCoin VRC,$3.61M,$0.11,"$118,067",Own Blockchain,-8.05%,11.72%,
572,574,Cryptos,Monetary structures,currency,,Mooncoin MOON,$3.58M,$0.00,"$3,672",Own Blockchain,-11.10%,-7.80%,
579,581,Cryptos,Monetary structures,currency,,Crown CRW,$3.57M,$0.16,"$5,990",Own Blockchain,1.11%,3.73%,
584,586,Cryptos,Monetary structures,currency,,Diamond DMD,$3.53M,$1.09,"$8,585",Own Blockchain,-2.72%,-16.41%,
590,592,Cryptos,Monetary structures,currency,,Nasdacoin NSD,$3.47M,$0.17,"$415,765",Own Blockchain,14.46%,16.30%,
596,598,Cryptos,Monetary structures,currency,,HTMLCOIN HTML,$3.21M,$0.00,"$16,926",Own Blockchain,0.86%,-28.96%,
604,606,Cryptos,Monetary structures,currency,,DIMCOIN DIM,$3.06M,$0.00,"$3,017",NEM,61.98%,-33.61%,
607,609,Cryptos,Monetary structures,currency,,Myriad XMY,$3M,$0.00,"$4,215",Own Blockchain,-1.73%,-17.79%,
618,620,Cryptos,Monetary structures,currency,,I/O Coin IOC,$2.84M,$0.16,$621,Own Blockchain,0.64%,-11.76%,
632,634,Cryptos,Monetary structures,currency,mobile payment,Dimecoin DIME,$2.71M,$0.00,$613,Own Blockchain,-7.97%,-17.14%,
634,636,Cryptos,Monetary structures,currency,,GoldCoin GLC,$2.71M,$0.07,"$20,316",Own Blockchain,1.18%,-12.07%,
676,677,Cryptos,Monetary structures,currency,,Global Currency Reserve GCR,$2.2M,$0.02,"$1,792",Own Blockchain,-7.53%,-19.79%,
683,684,Cryptos,Monetary structures,currency,,Titan Coin TTN,$1.98M,$0.00,"$141,078",Own Blockchain,-42.59%,-34.98%,
687,688,Cryptos,Monetary structures,currency,,ATC Coin ATCC,$2.11M,$0.01,"$6,564",Own Blockchain,-1.29%,-20.58%,
700,701,Cryptos,Monetary structures,currency,,NewYorkCoin NYC,$1.98M,$0.00,"$2,421",Own Blockchain,18.57%,-5.24%,
703,704,Cryptos,Monetary structures,currency,,MonetaryUnit MUE,$1.95M,$0.01,"$7,838",Own Blockchain,-3.79%,-2.93%,
713,714,Cryptos,Monetary structures,currency,,Bitcoin Interest BCI,$1.91M,$0.10,"$35,649",Own Blockchain,3.18%,9.84%,
714,715,Cryptos,Monetary structures,currency,,LUXCoin LUX,$1.9M,$0.33,$847,Own Blockchain,-8.63%,-8.21%,
733,734,Cryptos,Monetary structures,currency,,DNotes NOTE,$1.75M,$0.01,"$169,302",Own Blockchain,-0.28%,3.13%,
739,740,Cryptos,Monetary structures,currency,,BitSend BSD,$1.71M,$0.07,"$12,521",Own Blockchain,0.71%,-0.04%,
757,758,Cryptos,Monetary structures,currency,,Sakura Bloom SKB,$1.56M,$0.00,"$20,420",Ethereum (ERC20),6.36%,44.69%,
775,776,Cryptos,Monetary structures,currency,,BOMB BOMB,$1.44M,$1.90,"$26,940",Ethereum (ERC20),46.90%,62.29%,
785,786,Cryptos,Monetary structures,currency,,Beetle Coin BEET,$1.33M,$0.01,"$51,991",Own Blockchain,-8.10%,-38.68%,
786,787,Cryptos,Monetary structures,currency,,Paypex PAYX,$1.33M,$0.02,"$34,427",Own Blockchain,-3.97%,-19.44%,
807,808,Cryptos,Monetary structures,currency,,FREE Coin FREE,$1.2M,$0.00,"$8,245",Ethereum (ERC20),57.15%,-35.31%,
949,951,Cryptos,Monetary structures,currency,,ATBCoin ATB,$524.08K,$0.01,"$2,251,448",Own Blockchain,-1.16%,-13.36%,
952,954,Cryptos,Monetary structures,currency,,eBTC EBTC,$506.09K,$0.03,"$30,595",Ethereum (ERC20),0.95%,-23.81%,
248,249,Cryptos,Tech,data monetization,marketplace,Streamr DATA,$15.86M,$0.02,"$413,431",Ethereum (ERC20),-1.83%,-8.45%,
492,493,Cryptos,Tech,data monetization,marketplace,Measurable Data Token MDT,$4.84M,$0.01,"$1,013,879",Ethereum (ERC20),-9.59%,-10.57%,
629,631,Cryptos,Tech,data monetization,weather,Observer OBSR,$2.74M,$0.00,"$305,734",Own Blockchain,1.79%,-17.24%,
744,745,Cryptos,Tech,data monetization,marketplace,Datawallet DXT,$1.65M,$0.00,"$149,468",Ethereum (ERC20),-0.09%,-17.23%,
598,600,Cryptos,storage,data storage,messaging,Phantasma SOUL,$3.19M,$0.05,"$145,810",NEO,4.14%,10.90%,
79,80,Cryptos,Tech,DCC,,Golem GNT,$82.4M,$0.09,"$1,495,663",Ethereum (ERC20),-0.34%,-15.79%,
86,87,Cryptos,Tech,DCC,,aelf ELF,$76.46M,$0.19,"$21,191,569",Ethereum (ERC20),3.82%,-17.42%,
390,391,Cryptos,Tech,DCC,web3,Substratum SUB,$7.53M,$0.02,"$16,684",Own Blockchain,-3.01%,-7.04%,
503,504,Cryptos,Tech,DCC,,MassGrid MGD,$4.64M,$0.06,"$18,681",Own Blockchain,-0.49%,-33.62%,
617,619,Cryptos,Tech,DCC,DCS,Constellation DAG,$2.77M,$0.00,"$134,027",Ethereum (ERC20),1.19%,27.77%,
737,738,Cryptos,Tech,DCC,data monetization,Internxt INXT,$1.73M,$2.75,"$39,599",Ethereum (ERC20),0.93%,-10.83%,
814,816,Cryptos,Tech,DCC,healthcare,FoldingCoin FLDC,$1.17M,$0.00,"$7,310",Counterparty,14.62%,15.22%,
489,490,Cryptos,Tech,DCS,,Shift SHIFT,$4.86M,$0.37,"$25,666",Own Blockchain,3.71%,-11.01%,
586,588,Cryptos,Tech,DCS,enterprise,Ulord UT,$3.51M,$0.04,"$485,563",Own Blockchain,-3.98%,-8.49%,
275,276,Cryptos,Financial services,Debit-Card,,PLATINCOIN PLC,$13.34M,$19.06,"$1,646,548",Own Blockchain,-0.71%,-8.67%,
908,910,Cryptos,Financial services,Debit-Card,,Uquid Coin UQC,$679.01K,$0.07,"$1,016,036",Ethereum (ERC20),-0.61%,-16.54%,
1592,1599,Cryptos,Financial services,Debit-Card,,ethereumcash ECASH,$65.1K,$0.00,$30,Ethereum (ERC20),-19.50%,-15.22%,
168,169,Cryptos,Financial services,Debit-Card,,TenX PAY,$27.36M,$0.24,"$797,525",Ethereum (ERC20),3.96%,-3.76%,
20,21,Cryptos,Financial services,debt market,,Maker MKR,$711.49M,$711.49,"$5,644,009",Ethereum (ERC20),4.76%,-6.49%,
258,259,Cryptos,Financial services,debt market,,Ripio Credit Network RCN,$14.68M,$0.03,"$1,828,074",Ethereum (ERC20),0.10%,-9.76%,
282,283,Cryptos,Exchanges,DEX,,OneRoot Network RNT,$12.99M,$0.05,"$2,635,926",Ethereum (ERC20),-2.11%,-1.62%,
449,450,Cryptos,Exchanges,DEX,,Loopring [NEO] LRN,$5.83M,$0.05,"$4,915",Own Blockchain,-0.19%,-11.48%,
551,553,Cryptos,Exchanges,DEX,,DAEX DAX,$3.64M,$0.01,"$2,392,346",Own Blockchain,-10.46%,24.27%,
652,654,Cryptos,Exchanges,DEX,,Bitcoin Atom [Futures] BCA,$2.49M,$0.14,$579,Own Blockchain,-10.09%,-28.89%,
774,775,Cryptos,Exchanges,DEX,,win.win TWINS,$1.45M,$0.00,"$4,825",Own Blockchain,9.56%,20.24%,
454,455,Cryptos,digital voting,digital voting,,BOScoin BOS,$5.66M,$0.01,"$13,947",Own Blockchain,-2.52%,-6.33%,
675,676,Cryptos,digital voting,digital voting,,Decision Token HST,$2.2M,$0.07,"$1,722,475",Ethereum (ERC20),20.87%,21.61%,
1654,1660,Cryptos,digital voting,digital voting,,VoteCoin VOT,$37.44K,$0.00,$77,Own Blockchain,8.50%,-5.21%,social
715,716,Cryptos,business service,document services,validation,V-ID VIDT,$1.88M,$0.07,"$198,666",Ethereum (ERC20),10.17%,-15.80%,
468,469,Cryptos,marketplace,eCommerce,marketplace,Business Credit Alliance Chain BCAC,$5.33M,$0.01,"$322,215",Ethereum (ERC20),11.19%,31.71%,
639,641,Cryptos,marketplace,eCommerce,marketplace,Omnitude ECOM,$2.63M,$0.04,"$18,169",Ethereum (ERC20),-8.70%,-5.26%,
696,697,Cryptos,marketplace,eCommerce,marketplace,Rate3 RTE,$2M,$0.00,"$160,518",Ethereum (ERC20),8.87%,-6.30%,
866,868,Cryptos,marketplace,eCommerce,marketplace,Bezop BEZ,$850.5K,$0.02,"$470,154",Own Blockchain,-1%,-17.57%,
894,896,Cryptos,marketplace,eCommerce,marketplace,OLXA OLXA,$709.82K,$0.00,"$787,396",Ethereum (ERC20),-16.58%,63.41%,
951,953,Cryptos,marketplace,eCommerce,marketplace,Chimpion BNANA,$507.55K,$0.12,"$26,830",Ethereum (ERC20),1.64%,25.68%,
1084,1086,Cryptos,marketplace,eCommerce,marketplace,Elysian ELY,$184.1K,$0.00,"$72,516",Ethereum (ERC20),-13.05%,13.10%,
1138,1141,Cryptos,marketplace,eCommerce,marketplace,Spectrum SPT,$102.48K,$0.00,"$613,864",Ethereum (ERC20),1.37%,-14.74%,
1170,1173,Cryptos,marketplace,eCommerce,marketplace,BitRewards BIT,$59.96K,$0.00,"$5,185",Ethereum (ERC20),-2.43%,-35.82%,
1222,1225,Cryptos,marketplace,eCommerce,marketplace,YoloCash YLC,$15.39K,$0.00,"$5,236",Ethereum (ERC20),2.74%,4.64%,
1298,1303,Cryptos,marketplace,eCommerce,marketplace,Seal Network SEAL,$1.01M,$0.00,$118,Ethereum (ERC20),-5.92%,-28.99%,
1357,1363,Cryptos,marketplace,eCommerce,marketplace,Wys Token WYS,$436.54K,$0.00,$185,Ethereum (ERC20),-43.40%,-50.66%,
1595,1602,Cryptos,marketplace,eCommerce,,SparksPay SPK,$64.4K,$0.01,$479,Own Blockchain,-20.46%,-35.05%,
1608,1615,Cryptos,marketplace,eCommerce,,Sonder SNR,$52.65K,$0.00,$16,Ethereum (ERC20),0.58%,-1.80%,
1641,1648,Cryptos,marketplace,eCommerce,,Cazcoin CAZ,$42.45K,$0.00,$17,Own Blockchain,2.12%,-28.72%,
146,147,Cryptos,marketplace,ecommerce,platform,Syscoin SYS,$34.39M,$0.06,"$366,262",Own Blockchain,-2.74%,-13.53%,
169,170,Cryptos,marketplace,ecommerce,,Cybermiles CMT,$26.88M,$0.03,"$6,109,969",Ethereum (ERC20),0.13%,-20.60%,
329,330,Cryptos,marketplace,ecommerce,marketplace,Connect Coin XCON,$10.45M,$0.30,"$95,919",Ethereum (ERC20),6.94%,-16.65%,
332,333,Cryptos,marketplace,ecommerce,marketplace,district0x DNT,$10.24M,$0.02,"$533,427",Ethereum (ERC20),-1.60%,-16.47%,
493,494,Cryptos,marketplace,ecommerce,marketplace,Safex Token SFT,$4.82M,$0.01,"$12,463",Own Blockchain,40.98%,-11.35%,
62,63,Cryptos,marketplace,ecommerce,marketplace,ABBC Coin ABBC,$116.72M,$0.23,"$54,820,827",Own Blockchain,0.89%,-9.96%,
517,518,Cryptos,marketplace,ecommerce,marketplace,CommerceBlock CBT,$4.37M,$0.03,$808,Ethereum (ERC20),-4.90%,-32.08%,
74,75,Cryptos,Education,Education,,Insight Chain INB,$83.75M,$0.24,"$3,104,340",Ethereum (ERC20),-1.19%,-6.48%,
121,122,Cryptos,Education,Education,,ODEM ODE,$44.3M,$0.19,"$2,067,209",Own Blockchain,-0.74%,-4.98%,
130,131,Cryptos,Education,Education,,EDUCare EKT,$38.84M,$0.06,"$1,082,345",Ethereum (ERC20),26.37%,7.35%,
216,217,Cryptos,Education,Education,,Everipedia IQ,$19.04M,$0.00,"$1,202,445",EOS,1.66%,-12.84%,
1883,1894,Cryptos,Education,Education,,EduCoin EDU,$0,$0.00,"$1,053,314",Ethereum (ERC20),26.55%,9.06%,
1949,1963,Cryptos,Education,Education,,Wiki Token WIKI,$0,$0.96,"$111,605",Ethereum (ERC20),-0.37%,-10.07%,
2024,2044,Cryptos,Education,Education,,MESSE TOKEN MESSE,$0,$0.02,"$12,833",Ethereum (ERC20),8.17%,-11.61%,
719,720,Cryptos,Education,education,verification,EchoLink EKO,$1.82M,$0.00,"$202,496",Ethereum (ERC20),3.99%,-20.95%,
119,120,Cryptos,Energy,Energy,,Power Ledger POWR,$45.11M,$0.11,"$2,734,302",Ethereum (ERC20),1.37%,-12.93%,
380,381,Cryptos,Energy,Energy,,Envion EVN,$8.13M,$0.07,$872,Ethereum (ERC20),14.18%,6.83%,
403,404,Cryptos,Energy,Energy,,WePower WPR,$7.03M,$0.01,"$259,354",Ethereum (ERC20),-1.90%,-10.91%,
419,420,Cryptos,Energy,Energy,,Restart Energy MWAT MWAT,$6.6M,$0.01,"$30,845",Ethereum (ERC20),-5.74%,-7.77%,
487,488,Cryptos,Energy,Energy,,Grid+ GRID,$4.88M,$0.12,"$3,216",Ethereum (ERC20),-22.25%,-20.29%,
497,498,Cryptos,Energy,Energy,,SunContract SNC,$4.73M,$0.04,"$441,850",Ethereum (ERC20),-4.66%,-10.47%,
498,499,Cryptos,Energy,Energy,,Bittwatt BWT,$4.72M,$0.02,$593,Ethereum (ERC20),2.40%,51.58%,
673,674,Cryptos,Energy,Energy,,SolarCoin SLR,$2.23M,$0.04,"$1,207",Own Blockchain,-1.98%,-13.53%,
770,771,Cryptos,Energy,Energy,,Electrify.Asia ELEC,$1.47M,$0.00,"$16,573",Ethereum (ERC20),-1.89%,-12.70%,
829,831,Cryptos,Energy,Energy,,Energo TSL,$1.07M,$0.00,"$22,162",QTUM,-1.37%,-12.94%,
888,890,Cryptos,Energy,Energy,,Energycoin ENRG,$734.52K,$0.01,"$3,953",Own Blockchain,-0.74%,20.54%,
957,959,Cryptos,Energy,Energy,,Mocrow MCW,$480.56K,$0.24,"$1,779",Ethereum (ERC20),0.39%,-19.27%,
1011,1013,Cryptos,Energy,Energy,,Pylon Network PYLNT,$367.04K,$0.87,"$121,786",Ethereum (ERC20),8.03%,-1.68%,
1054,1055,Cryptos,Energy,Energy,,EnterCoin ENTRC,$239.61K,$0.08,"$81,711",Ethereum (ERC20),-4.12%,-16.91%,
1100,1103,Cryptos,Energy,Energy,,4NEW KWATT,$158.75K,$0.00,"$27,406",Ethereum (ERC20),-1.96%,-20.28%,
1158,1161,Cryptos,Energy,Energy,,KWHCoin KWH,$74.61K,$0.00,"$231,148",Ethereum (ERC20),15.04%,-18.66%,
1291,1296,Cryptos,Energy,Energy,,EnergiToken ETK,$1.16M,$0.00,$297,Ethereum (ERC20),16.13%,24.03%,
1367,1372,Cryptos,Energy,Energy,,Carboncoin CARBON,$409.43K,$0.00,$1,Own Blockchain,-0.04%,-29.69%,
1524,1531,Cryptos,Energy,Energy,,Newton Coin Project NCP,$109.94K,$0.00,$1,Own Blockchain,-75.72%,-61.22%,
1571,1578,Cryptos,Energy,Energy,,Simmitri SIM,$77.54K,$0.00,$87,Ethereum (ERC20),9.23%,-10.97%,
1873,1883,Cryptos,Energy,Energy,,BitcoinHD BHD,$0,$31.98,"$1,513,279",Own Blockchain,-2.76%,-6.83%,
1960,1974,Cryptos,Energy,Energy,,Electronic Energy Coin E2C,$0,$0.16,"$87,218",Ethereum (ERC20),-4.50%,-0.84%,
2009,2027,Cryptos,Energy,Energy,,WPP Token WPP,$0,$0.00,"$22,477",Ethereum (ERC20),0.95%,-22.41%,
2062,2085,Cryptos,Energy,Energy,,Matrexcoin MAC,$0,$0.12,"$1,678",Ethereum (ERC20),73.79%,50.99%,
201,202,Cryptos,marketplace,enterprise,software,Aragon ANT,$20.93M,$0.68,"$11,210",Ethereum (ERC20),-1.43%,-4.64%,
501,502,Cryptos,marketplace,enterprise,dapps,Apex CPX,$4.71M,$0.01,"$114,242",NEO,10.71%,-1.05%,
718,719,Cryptos,marketplace,enterprise,multiple services,SophiaTX SPHTX,$1.86M,$0.01,"$62,736",Own Blockchain,10.44%,-17.27%,
723,724,Cryptos,marketplace,enterprise,,Dynamic DYN,$1.82M,$0.13,"$29,813",Own Blockchain,-1.36%,9.92%,
65,66,Cryptos,Entertainment,Entertainment,,Theta THETA,$112.8M,$0.13,"$8,588,205",Ethereum (ERC20),1.11%,-10.02%,
145,146,Cryptos,Entertainment,Entertainment,,Buggyra Coin Zero BCZERO,$34.78M,$0.02,"$35,707",Ethereum (ERC20),-2.15%,-10.49%,
335,336,Cryptos,Entertainment,Entertainment,,SingularDTV SNGLS,$10.03M,$0.02,"$721,025",Ethereum (ERC20),0.17%,-9.18%,
374,375,Cryptos,Entertainment,Entertainment,,Viberate VIB,$8.23M,$0.04,"$1,500,898",Ethereum (ERC20),-2.16%,-13.57%,
424,425,Cryptos,Entertainment,Entertainment,,FansTime FTI,$6.5M,$0.00,"$1,590,444",Ethereum (ERC20),32.11%,-4.21%,
434,435,Cryptos,Entertainment,Entertainment,,BitTube TUBE,$6.18M,$0.04,"$76,566",Own Blockchain,3.58%,-10.88%,
587,589,Cryptos,Entertainment,Entertainment,,POPCHAIN PCH,$3.45M,$0.00,"$1,783",Ethereum (ERC20),2.45%,43.46%,
613,615,Cryptos,Entertainment,Entertainment,,Pibble PIB,$2.91M,$0.00,"$246,562",Ethereum (ERC20),-3.06%,-5.02%,
771,772,Cryptos,Entertainment,Entertainment,,Musicoin MUSIC,$1.47M,$0.00,"$13,752",Own Blockchain,-4.69%,-18.07%,
